id,name,description,latitude,longitude
1,Ah Fatt Kelong Fishing,An offshore fishing platform (kelong) experience; facilities are decent for fishing enthusiasts and group trips.,2.6458,103.7589
2,Batu Ayam Penyabong,"A unique rock formation at Penyabong Beach resembling a rooster, associated with local legend/folklore.",2.65,103.75
3,Bluewater Express,The primary ferry service provider for travelers commuting between Mersing jetty and Tioman Island.,2.4333,103.8389
4,Bukit Selantai,A hiking trail offering panoramic views of the coastline and surrounding islands.,2.5106,103.8394
5,Endau Rompin National Park,"One of the world's oldest rainforests containing waterfalls (Buaya Sangkut), indigenous villages, and endangered wildlife like the Malayan Tiger.",2.5333,103.25
6,Fushun Temple,"A friendly Chinese temple located in the neighborhood, suitable for a cultural stroll.",2.4304,103.8378
7,Gunung Arong,Recreational forest offering a hike with a rewarding view of the South China Sea.,2.5833,103.7667
8,Kuil Sri Subramaniam,"A brightly decorated Hindu temple located at the main roundabout, situated right next to the Chinese temple.",2.4309,103.8374
9,Masjid Jamek Bandar Mersing,Iconic hilltop mosque offering panoramic views of Mersing town and the sea.,2.4345,103.8388
10,Mersing Esplanade,A waterfront stretch lined with budget hotels and eateries; a popular social spot to meet and chat.,2.4355,103.84
11,Mersing Harbour Centre,"The main transport hub for island hopping, also features local souvenir shops.",2.4332,103.839
12,Muzium Mersing,"Local museum showcasing the district's history, Japanese occupation artifacts, and cultural heritage.",2.4325,103.8395
13,OrcaNation Dive Center (Rawa Island),"Asia’s leading PADI 5-star Instructor Development Center, focusing on diving experiences for families and children.",2.5203,103.9715
14,Pantai Air Papan,"A popular picnic spot with shallow waters, lined with rice paddies and village chalets.",2.5167,103.8333
15,Pantai Pasir Lanun,"""Pirate's Sand Beach,"" a secluded beach spot with a mythical history.",2.645,103.76
16,Pantai Penyabung,"A quieter, scenic beach near Endau, popular for photography and relaxation.",2.648,103.755
17,Pantai Tanjung Resang,"Located in Endau; known for clear waters, snorkeling, diving, and sunsets. Nearby lodging available at Teluk Sari Beach Resort.",2.5979,103.782
18,Pantai Tg Leman,A coastal area serving as a gateway to offshore islands; listed as an eco-tourism site.,2.1517,104.0053
19,Pulau Aur,Far offshore island famous for crystal clear waters; a hotspot for deep-sea enthusiasts.,2.45,104.5167
20,Pulau Besar,Former location of a reality TV show (Survivor); known for pristine waters and jungle trekking.,2.4333,103.9833
21,Pulau Dayang,Located next to Pulau Aur; a popular destination for sport fishing and diving.,2.4667,104.4833
22,Pulau Harimau,"""Tiger Island,"" known for its unique cavern and diving spots.",2.55,103.95
23,Pulau Hujong,"One of the outer islands in the Mersing Marine Park, noted for eco-tourism.",2.4833,103.9667
24,Pulau Mawar,"A small tidal island accessible by foot during low tide; famous for the ""Heaven's Gate"" rock arch.",2.6167,103.7667
25,Pulau Mensirip,"A small, scenic island often visited for snorkeling stops.",2.5333,103.9667
26,Pulau Mentigi,"A smaller, quieter island located near the larger Pulau Tinggi.",2.2833,104.1
27,Pulau Pemanggil,Famous for deep-sea fishing and hiking routes to view the South China Sea.,2.5833,104.3333
28,Pulau Sibu,Situated in Eastern Johor; features white sandy beaches and diverse coral reefs. Popular for honeymoons and scuba diving.,2.2149,104.0531
29,Pulau Tengah,A marine park island known for conservation efforts and clear waters.,2.4833,103.95
30,Pulau Tinggi (General’s Hat Island),Secluded island rising 2000ft above sea level with a traditional Malay settlement. Surrounded by 8 smaller islets; ideal for relaxing.,2.3,104.1167
31,Rawa Island (Pulau Rawa),"Known as the ""Malaysian Maldives"" for its white sands and iconic water slide.",2.5203,103.9715
32,Setindan View,A scenic viewing point listed as a local eco-tourism destination.,2.4274,103.8493
33,Tasik Hijau Jemaluang,"An ""Emerald Lake"" (Tasik Hijau) likely formed from mining remnants, offering unique photo opportunities.",2.2716,103.8576
34,Tioman Island (Pulau Tioman),"Famous ecological paradise with duty-free status, diving spots, and rainforests.",2.8167,104.1667
35,VReal Mersing Island Hopping,"Provides ""Virtual and Real"" island hopping packages to explore the pristine beaches and scenery of Mersing's islands.",2.4332,103.839
